section,Lecture,Age,Primary major,Other Primary Major,Other majors,Zip Code,4701018: What is the latitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701019: What is the longitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701117: Are you considering declaring a Data Science Major?,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,20,Other (please provide details below).,Economics (Mathematical Emphasis),Data Science,53703,43.073929,-89.385239,Yes,macaroni/pasta,cat,No,night owl,No
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,21,Business: Information Systems,,,53713,43.03638,-89.40292,No,pineapple,neither,Yes,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,18,Data Science,,,53706,45.31625,-92.59181,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB314, COMP SCI 220:LEC001",LEC001,21,Business: Finance,,,53711,43.073929,-89.385239,No,pepperoni,dog,No,no preference,Maybe
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC003,19,Engineering: Mechanical,,,53715,35.689487,139.691711,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Computer Science,,,53706,-0.1262362° E,51.500153° N,No,pepperoni,dog,No,night owl,Yes
COMP SCI 319:LEC002,LEC002,22,Science: Biology/Life,,,53711,45.970539,,No,mushroom,cat,No,no preference,No
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,18,Data Science,,Statistics,53706,42.360081,-71.058884,Yes,green pepper,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,19,Engineering: Mechanical,,,53703,32.8328,117.2713,Maybe,sausage,neither,Yes,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,20,Engineering: Mechanical,,,53715,44.834,-87.376,No,none (just cheese),dog,Yes,night owl,No
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,21,Other (please provide details below).,Economics,,53703,41.902782,12.496365,No,none (just cheese),dog,No,no preference,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,25,Data Science,,,53703,34.693737,135.502167,Yes,pineapple,dog,No,early bird,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,17,Computer Science,,BUSINESS,53703,19.075983,72.877655,Maybe,Other,neither,Yes,no preference,No
"COMP SCI 220:LEC002, COMP SCI 220:LAB322",LEC002,19,Other (please provide details below).,Psychology,Data Science,53715,30.5928° N,114.3052° E,Maybe,sausage,cat,No,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB312",LEC001,19,Computer Science,Data Science / Computer Science (I have not decided yet),Communication Arts,53703,51.507351,-0.127758,Maybe,sausage,cat,Yes,no preference,Yes
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,17,Engineering: Industrial,,,53706,55.953251,-3.188267,Maybe,Other,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC001,,Computer Science,,,53703,43.073051,-89.40123,Yes,pineapple,dog,Yes,night owl,No
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC001,21,Engineering: Mechanical,,,53705,37.566536,126.977966,Maybe,mushroom,cat,Yes,no preference,Maybe
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,18,Other (please provide details below).,Undecided,,53715,48.775845,9.182932,Yes,Other,dog,No,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB341",LEC001,19,Data Science,,Computer Science,53703,43,-89,Yes,sausage,cat,No,early bird,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,21,Science: Biology/Life,stats,no,53703,36‘N,117‘E,No,macaroni/pasta,dog,No,night owl,Maybe
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,19,Business: Information Systems,,,53703,42.360081,-71.058884,No,pepperoni,dog,No,no preference,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,19,Computer Science,,,53706,-8.340539,115.091949,Maybe,pineapple,dog,Yes,night owl,Maybe
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,20,Business: Information Systems,,,53726,43.073051,-89.40123,No,sausage,dog,Yes,night owl,No
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,,Science: Other,,,53715,39.904202,116.407394,No,mushroom,cat,No,night owl,Maybe
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,20,Engineering: Biomedical,,,53715,43.0707° N,12.6196° E,No,tater tots,dog,No,night owl,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB341",LEC004,19,Engineering: Biomedical,,,53715,41.878113,-87.629799,No,mushroom,dog,Yes,night owl,Yes
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,21,Business: Other,Accounting,,53703,41.8781° N,87.6298° W,Yes,pepperoni,cat,No,night owl,No
"COMP SCI 220:LEC002, COMP SCI 220:LAB322",LEC001,17,Other (please provide details below).,maybe business,,53706,33.742185,-84.386124,Maybe,Other,dog,No,no preference,Yes
"COMP SCI 220:LAB362, COMP SCI 220:LEC006",LEC006,18,Data Science,,,53558,40.73061,-73.935242,Yes,pepperoni,dog,Yes,night owl,No
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,25,Data Science,I answered it,No,53705,43.073051,-89.385239,Yes,sausage,cat,No,night owl,Maybe
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,18,Data Science,,,53706,37.34163,-122.05411,Yes,sausage,dog,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,18,Science: Biology/Life,,Data Science,53706,19.21833,72.978088,Yes,green pepper,neither,No,no preference,Maybe
COMP SCI 319:LEC002,LEC002,,Business: Other,business analytics,,53703,31.230391,121.473701,Maybe,none (just cheese),cat,Yes,night owl,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC001,,Data Science,,Music Preformance,53706,35.719312,139.784546,Maybe,none (just cheese),neither,Yes,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,19,Engineering: Mechanical,,,53726,47.141041,9.52145,Maybe,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC001,,Computer Science,,,53715,"41.8781° N, 87.6298° W","41.8781° N, 87.6298° W",Maybe,pepperoni,dog,No,no preference,Maybe
COMP SCI 319:LEC002,LEC002,26,Science: Other,animal sciences,,53705,25.204849,55.270782,No,pepperoni,dog,No,no preference,Maybe
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,21,Other (please provide details below).,Mathematics,Physics,53704,61.218056,-149.900284,Maybe,green pepper,cat,Yes,early bird,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,22,Engineering: Other,,Geological Engineering and Geology & Geophysics,53703,49.28273,-123.120735,Maybe,macaroni/pasta,cat,No,early bird,Maybe
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,18,Business: Other,Business:Undecided,,53706,41.902782,12.496365,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,20,Engineering: Mechanical,,,53726,39.81059,-74.71795,No,basil/spinach,dog,No,early bird,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,21,Other (please provide details below).,Health Promotion Health Equity,Certificate Data Science,53711,37.2982 N,113.0263 W,No,pepperoni,dog,No,early bird,No
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,20,Engineering: Mechanical,,,53703,38.722252,-9.139337,No,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,19,Engineering: Mechanical,,,53714,43,-89.4,No,none (just cheese),dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC002,19,Engineering: Industrial,,,53703,41.878,-87.63,No,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC006,18,Computer Science,/,/,53706,43.073051,-89.40123,Yes,mushroom,neither,No,night owl,Yes
"COMP SCI 220:LAB314, COMP SCI 220:LEC001",LEC001,18,Engineering: Industrial,,,53706,19.655041,-101.169891,Maybe,pepperoni,dog,Yes,no preference,Maybe
"COMP SCI 220:LAB352, COMP SCI 220:LEC005",LEC005,20,Engineering: Mechanical,,,53703,26.147,-81.795,No,pepperoni,dog,Yes,early bird,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,18,Business: Other,,,53706,51.507,-0.128,Maybe,sausage,dog,No,no preference,No
